date_key,year,month,year_month,week_number,day_name,is_weekend
2026-05-04,2026,5,2026-05,19,Monday,False
2026-05-05,2026,5,2026-05,19,Tuesday,False
2026-05-06,2026,5,2026-05,19,Wednesday,False
2026-05-07,2026,5,2026-05,19,Thursday,False
2026-05-08,2026,5,2026-05,19,Friday,False
2026-05-09,2026,5,2026-05,19,Saturday,True
2026-05-10,2026,5,2026-05,19,Sunday,True
2026-05-11,2026,5,2026-05,20,Monday,False
2026-05-12,2026,5,2026-05,20,Tuesday,False
2026-05-13,2026,5,2026-05,20,Wednesday,False
2026-05-14,2026,5,2026-05,20,Thursday,False
2026-05-15,2026,5,2026-05,20,Friday,False
2026-05-16,2026,5,2026-05,20,Saturday,True
2026-05-17,2026,5,2026-05,20,Sunday,True
2026-05-18,2026,5,2026-05,21,Monday,False
2026-05-19,2026,5,2026-05,21,Tuesday,False
2026-05-20,2026,5,2026-05,21,Wednesday,False
2026-05-21,2026,5,2026-05,21,Thursday,False
2026-05-22,2026,5,2026-05,21,Friday,False
2026-05-23,2026,5,2026-05,21,Saturday,True
2026-05-24,2026,5,2026-05,21,Sunday,True
2026-05-25,2026,5,2026-05,22,Monday,False
2026-05-26,2026,5,2026-05,22,Tuesday,False
2026-05-27,2026,5,2026-05,22,Wednesday,False
2026-05-28,2026,5,2026-05,22,Thursday,False
2026-05-29,2026,5,2026-05,22,Friday,False
2026-05-30,2026,5,2026-05,22,Saturday,True
2026-05-31,2026,5,2026-05,22,Sunday,True
